,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu3382,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu33820,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33822,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33823,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33824,-0.1168,0.3541,0.9008,36.6,33.82,7.699,2370000,44.66,2517,1.925,44.7
Zotu33825,-0.2091,0.5919,0.8953,28.1,27.9,7.86,9690000,69.08,10100,3.565,70.55
Zotu33826,-0.2328,0.2752,0.4322,27.41,25.2,5.808,4430000,64.41,5015,2.666,55.1
Zotu33827,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33828,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1380000,47.67,1337,2.226,44.95
Zotu33829,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu3383,-0.2613,0.098,1.167,28.24,29.99,7,7360000,67.6,6233,2,52.5
Zotu33830,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu33831,-0.3505,0.1512,0.9745,28.52,52.04,6.077,4220000,58.2,4002,1.412,47.99
Zotu33832,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu33833,-0.2232,0.194,0.6168,42.3,40.65,7.06,4160000,61.64,3777,2.166,49.16
Zotu33834,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.82,3346,1.684,47.91
Zotu33835,-0.04399,0.05994,0.7408,29.77,29.09,6.878,5240000,68.74,4806,2.777,49.58
Zotu33836,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33838,-0.3552,0.11,0.8725,32.95,34.45,7.298,1380000,37.55,1190,1.129,35.75
Zotu33839,0.191,0.2577,0.9977,24.09,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu3384,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33840,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu33842,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33844,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33845,-0.2422,0.1284,0.7286,26.84,34.89,6.915,2640000,40.34,2450,2.88,39.92
Zotu33846,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33847,-0.251,0.2404,0.7286,37.47,31.34,6.874,4300000,58.35,4051,1.895,50.78
Zotu33849,-0.05754,0.1371,0.717,28,29.75,7.298,6200000,71.25,8403,3.216,61.6
Zotu3385,-0.3505,0.1512,0.9745,34.34,38.88,6.077,5190000,59.04,4002,1.412,47.99
Zotu33850,-0.3234,0.2206,1.178,31.63,27.75,7.075,3830000,58.06,3293,2.642,53.32
Zotu33851,-0.3003,0.2132,0.4745,35.09,33.25,7.326,6040000,50.89,4676,9.244,90.6
Zotu33852,-0.09736,0.3789,0.7531,46.07,48.19,7.261,885000,47.05,946.5,2.226,42.76
Zotu33853,0.01613,0.1125,1.014,27.95,26.96,6.322,7020000,55.3,5007,1.944,54.51
Zotu33854,-0.09574,0.2003,0.4165,31.99,33.35,6.883,6070000,68.22,3941,2.411,51.43
Zotu33855,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33856,0.9737,0.7801,0.8053,31.79,27.63,7.702,4730000,47.71,3492,1.622,45.94
Zotu33857,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33858,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu33859,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu3386,-0.3676,0.08585,0.6168,31.98,31.33,6.44,2450000,59.66,4057,2.232,49.27
Zotu33860,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33861,-0.7295,-0.3046,0.3649,31.45,31.82,7.115,1240000,29.19,1090,1.802,33.01
Zotu33863,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu33864,-0.3875,0.2621,0.8624,41.98,40.65,6.648,4590000,55.41,3118,1.903,47.56
Zotu33865,-0.2733,0.2443,0.3754,33.61,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu33866,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu33867,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu33868,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu33869,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu3387,-0.3093,0.177,0.6168,40.55,34.79,5.364,2610000,62.52,4057,2.232,49.27
Zotu33870,0.001002,0.07812,1.014,28.21,27.89,7.026,6550000,56.41,5315,1.541,56.17
Zotu33871,-0.04736,0.04555,0.7752,29.33,29.31,7.064,4930000,72.87,4834,2.933,47.29
Zotu33874,-0.09783,0.04525,0.7909,28.77,36.24,6.471,4590000,68.05,3933,1.988,46.52
Zotu33875,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu33876,-0.07137,0.08759,0.717,28.37,27.14,7.394,9470000,71.24,7686,4.593,59.29
Zotu33877,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu33878,-0.3676,0.08585,0.6168,31.98,31.33,6.44,2450000,59.66,4057,2.232,49.27
Zotu33879,-0.3169,0.1439,1.002,26.82,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu3388,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33880,-0.3342,0.5855,0.3262,26.88,29.8,7.283,5770000,43.11,4149,3.039,41.84
Zotu33881,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33882,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu33883,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4330000,41.88,3626,3.124,48.97
Zotu33884,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu33886,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.82,3346,1.684,47.91
Zotu33887,-0.3875,0.2621,0.8624,41.33,40.11,6.617,4770000,55.41,3118,1.903,47.56
Zotu3389,-0.208,0.3679,0.3817,31.59,31.52,7.634,6580000,52,4754,10.01,89.51
Zotu33891,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu33892,-0.06798,0.5798,0.8953,28.86,27.9,7.86,9690000,69.08,10100,3.565,70.55
Zotu33894,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu33895,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33896,-0.1091,0.4132,0.3714,29.75,28.29,6.873,5670000,44.55,5771,3.71,54.77
Zotu33897,-0.2092,0.09797,0.7062,33.3,31.4,7.246,4310000,61.03,4142,2.045,48.02
Zotu33898,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu33899,-0.1203,-0.104,-0.2829,36.42,36.08,8.688,2880000,40.17,3054,5.138,61.81
Zotu339,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
