ID	YD16L1	YD16L2	YD16L3	YD16L4	YD17L1	YD17L2	YD17L3	YD17L4	YD18L1	YD18L2	YD18L3	YD18L4	YD1L1	YD1L2	YD1L3	YD1L4	YD22L1	YD22L2	YD22L3	YD22L4	YD23L1	YD23L2	YD23L3	YD23L4	YD24L1	YD24L2	YD24L3	YD24L4	YD2L1	YD2L2	YD2L3	YD2L4	YD31L1	YD31L2	YD31L3	YD31L4	YD32L1	YD32L2	YD32L3	YD32L4	YD33L1	YD33L2	YD33L3	YD33L4	YD3L1	YD3L2	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD44L1	YD44L2	YD44L3	YD44L4	YD45L1	YD45L2	YD45L3	YD45L4	YD46L1	YD46L2	YD46L3	YD46L4	YD47L1	YD47L2	YD47L3	YD47L4	YD48L1	YD48L2	YD48L3	YD48L4	YD3L3
Zotu817	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu321	14	3	2	1	1	0	0	1	8	1	0	0	3	0	0	0	12	14	1	0	3	0	6	0	15	0	0	0	1	3	0	7	15	0	0	0	0	5	1	0	8	0	0	11	2	0	0	3	1	0	4	4	0	0	0	12	1	0	0	28	0	0	0	2	1	0	0	15	0	1	0	0
Zotu261	2	1	1	0	101	0	1	0	2	1	0	0	3	6	1	3	6	2	0	2	4	3	0	8	5	0	0	0	1	9	1	4	4	7	0	0	10	0	0	0	1	0	1	2	0	1	0	4	0	0	0	4	0	4	0	8	0	0	0	10	0	1	0	29	1	12	0	5	0	1	1	0
Zotu689	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu3050	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu208	4	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	1	6	0	929	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	14	5	0	0	0	0	0	1	0	0	2	0	0	0
Zotu84	8	5	0	1	5	1	1	0	4	1	0	2	11	7	456	1	6	2	1	2	25	13	1	0	6	1	0	0	0	2	190	3	6	3	9	0	48	5	11	1	2	18	1	2	0	0	1	1	1	3	0	77	1	0	1	3	3	0	0	5	0	0	2	26	2	41	0	5	1	0	3	2
Zotu1092	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	11	0	0	14	0	0	0	0	0	0	0	0	0	2	0	0
Zotu297	0	0	0	5	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	32	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	2	0	1	4	0	0	1	0	0	2	0	0	0	60	0	0	0	4	7	0	0	6	0	0	0	5	0	0	0	3	0	1	0	0
Zotu141	12	3	8	2	30	4	0	0	1	0	0	0	58	46	10	2	38	2	0	0	90	30	8	1	46	0	1	1	13	4	14	160	28	23	0	2	33	0	4	0	10	168	5	4	0	3	0	2	0	0	2	143	1	3	102	13	0	1	0	49	1	0	0	198	11	49	0	36	2	0	1	0
Zotu726	0	0	0	1	0	0	0	0	0	0	0	0	121	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu227	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu822	2	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	1	5	0	1	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	3	6	0	0	0
Zotu175	0	1	0	0	64	2	0	1	3	3	1	0	2	4	4	0	6	3	0	0	125	1	2	0	4	0	0	0	0	8	0	0	9	0	0	1	182	0	0	0	1	20	2	0	0	0	0	0	0	0	0	5	1	0	2	2	0	0	0	18	0	0	0	9	0	3	1	2	0	0	0	0
Zotu5476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu89	4	6	5	0	1	0	2	5	3	8	11	3	2	0	396	4	4	6	20	1	0	4	3	0	3	5	0	1	2	3	2	1	1	1	0	1	0	2	1	1	5	2	1	7	0	0	0	2	12	2	6	3	1	0	4	2	9	1	2	1	1	0	0	1	24	5	2	4	0	1	3	0
Zotu296	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	7	0	0	0	0	2	0	0	165	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu1708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
